"id","date","authors","title_original","presentation_type","event_original","symposium_original","city","country_code","invited","presenting_author","slides_url","language","include_short","sort_order","source_page"
"presentation-2025-01-limiti-nell-uso-delle-discrepanze-nel-prof","2025-09","Toffalini, E.;Cornoldi, C.","Limiti nell’uso delle discrepanze nel profilo cognitivo per la diagnosi","oral","Presentazione orale presso XXXIII Congresso Nazionale AIRIPA, PISA, Italia","","Pisa","IT",FALSE,"Enrico Toffalini","","",FALSE,1,14
"presentation-2025-02-approccio-dimensionale-all-adhd-consideraz","2025-05","Toffalini, E.","Approccio dimensionale all’ADHD: considerazioni teoriche e psicometriche","oral","Presentazione orale presso XIII Congresso Nazionale AIDAI, Padova, Italia","","Padova","IT",FALSE,"Enrico Toffalini","","",FALSE,2,15
"presentation-2024-03-approccio-dimensionale-e-transdiagnostico-","2024-09","Mento, G.;Toffalini, E.","Approccio dimensionale e transdiagnostico ai disturbi del neurosviluppo","symposium_organized","Simposio organizzato presso il XXXII Congresso Nazionale AIRIPA, Reggio Emilia, Italia","","Reggio Emilia","IT",FALSE,"","","",FALSE,3,15
"presentation-2024-04-attitudini-matematiche-e-prestazione-uno-s","2024-09","Masi, A.;Toffalini, E.;Caviola, S.","Attitudini matematiche e prestazione: uno studio cross-culturale tra Italia e Francia nella scuola primaria","oral","Presentazione orale presso XXXII Congresso Nazionale AIRIPA, Reggio Emilia, Italia","","Reggio Emilia","IT",FALSE,"","","",FALSE,4,15
"presentation-2023-05-perche-e-meglio-non-usare-praticamente-mai","2023-09","Toffalini, E.;Gambarota, F.","Perché è meglio non usare (praticamente mai) l’analisi dei cluster sulle casistiche in psicologia dello sviluppo","oral","Presentazione orale presso XXXI Congresso Nazionale AIRIPA, Foggia, Italia","","Foggia","IT",FALSE,"Enrico Toffalini","","",FALSE,5,15
"presentation-2023-06-le-differenze-di-genere-in-alunni-con-e-se","2023-09","Caviola, S.;Feraco, T.;Toffalini, E.;Giofrè, D.","Le differenze di genere in alunni con e senza DSA: dai profili cognitivi all’ansia da prestazione","oral","Presentazione orale presso XXXI Congresso Nazionale AIRIPA, Foggia, Italia","","Foggia","IT",FALSE,"","","",FALSE,6,15
"presentation-2022-07-problems-with-clustering-cases-from-quanti","2022-09","Toffalini, E.;Girardi, P.;Giofrè, D.;Altoè, G.","Problems with Clustering Cases from Quantitative Psychological Data on Individual Differences","oral","Presentazione orale presso XXX Congresso Associazione Italiana di Psicologia (AIP), Padova, Italia","","Padova","IT",FALSE,"Enrico Toffalini","","",FALSE,7,15
"presentation-2022-08-preferred-evaluation-of-cognitive-and-neur","2022-09","Costa, C.;Pezzetta, R.;Grassi, M.;Cona, G.;Toffalini, E.;Scarpazza, C.","Preferred Evaluation of Cognitive and Neuropsychological Studies: The Pecans Statement for Human Studies","symposium_contribution","Presentazione al Simposio Interdisciplinare S.I.41 presso XXX Congresso Associazione Italiana di Psicologia (AIP), Padova, Italia","","Padova","IT",FALSE,"","","",FALSE,8,15
"presentation-2022-09-struttura-profilo-e-significato-diagnostic","2022-09","Toffalini, E.;Buono, S.;Cornoldi, C.","Struttura, profilo e significato diagnostico dell’intelligenza nell’ADHD sono sorprendentemente simili a quelli dei DSA","oral","Presentazione orale presso XXX Congresso Nazionale AIRIPA, Padova, Italia","","Padova","IT",FALSE,"Enrico Toffalini","","",FALSE,9,15
"presentation-2022-10-emotional-aspects-and-reading-motivation-i","2022-08","Donolato, E.;Toffalini, E.;Cornoldi, C.;Mammarella, I.C.","Emotional Aspects and Reading Motivation in Children with Dyslexia: A Dimensional Framework","oral","Presentazione orale presso The 17th International Conference on Motivation (ICM), Dresda, Germania","","Dresda","DE",FALSE,"","","",FALSE,10,15
