"citekey","entry_type","authors","editors","title","year","journal","booktitle","publisher","address","volume","number","pages","eid","doi","url","keywords","source_page","review_status","category","include_short"
"cortesi2026time","article","F. Cortesi;I. Polenghi;A. Gambarini;G.M. Marzocchi;G. Mioni;A. Ogliari;E. Toffalini;V. Tobia","","Time processing skills in individuals with math impairment and developmental dyscalculia","2026","Research in Developmental Disabilities","","","","168","","","105182","10.1016/j.ridd.2025.105182","","cv-journal-international",3,"verified_from_source","journal_international",FALSE
"toffalini2025intellectual","article","E. Toffalini;E. Borella;L. Pezzuti;J. Dawe;C. Cornoldi","","Intellectual giftedness in adult lifespan: just a dimensional account or are there areas especially sensitive to high potential","2025","Personality and Individual Differences","","","","245","","113274","","10.1016/j.paid.2025.113274","","cv-journal-international,cv-short",4,"verified_from_source","journal_international",TRUE
"perugini2025benefits","article","A. Perugini;F. Gambarota;E. Toffalini;D. Lakens;M. Pastore;L. Finos;Psicostat Core Team;G. Altoè","","The benefits of reporting critical effect size values","2025","Advances in Methods and Practices in Psychological Science","","","","8","2","1-10","","10.1177/2515245925133529","","cv-journal-international",4,"verified_from_source","journal_international",FALSE
"pelegrina2025stability","article","S. Pelegrina;E. Toffalini;Martín-Puga","","Stability of math anxiety and its relation with math performance over time: A meta-analysis of longitudinal studies","2025","Journal of Educational Psychology","","","","","","","","10.1037/edu0001008","","cv-journal-international",3,"verified_from_source","journal_international",FALSE
"esposito2025sex","article","L. Esposito;D. Giofrè;E. Toffalini;D. C. Geary","","Sex differences in variability: Evidence from math and reading assessment in Italy","2025","Personality and Individual Differences","","","","247","","","113410","10.1016/j.paid.2025.113410","","cv-journal-international",3,"verified_from_source","journal_international",FALSE
"costa2025enhancing","article","C. Costa;R. Pezzetta;E. Toffalini;M. Grassi;G. Cona;C. Miniussi;P. J. Bauer;S. Borgomaneri;M. Brysbaert;C. D. Chambers;N. Edelstyn;A. Eerland;S. J. Gilbert;M. A. Nitsche;R. A. Poldrack;A. Puce;K. R. Ridderinkhof;T. Y. Swaab;C. Umiltà;M. Wiener;C. Scarpazza","","Enhancing the quality and reproducibility of research: Preferred Evaluation of Cognitive and Neuropsychological Studies - The PECANS statement for human studies","2025","Behavior Research Methods","","","","57","","","182","10.3758/s13428-025-02705-3","","cv-journal-international,cv-short",3,"verified_from_source","journal_international",TRUE
"caviola2025exploring","article","S. Caviola;D. Giofrè;T. Feraco;E. Toffalini;K. Allen;D. Geary","","Exploring the mediating role of academic anxiety in mathematics and reading performance among boys and girls: A comprehensive study of Italian fifth graders","2025","Learning and Individual Differences","","","","122","","","102726","10.1016/j.lindif.2025.102726","","cv-journal-international",3,"verified_from_source","journal_international",FALSE
"toffalini2024clusters","article","E. Toffalini;F. Gambarota;A. Perugini;P. Girardi;V. Tobia;G. Altoè;D. Giofrè;T. Feraco","","Clusters that are not there: An R tutorial and a Shiny app to quantify a priori inferential risks when using clustering methods","2024","International Journal of Psychology","","","","59","6","1183-1198","","10.1002/ijop.13246","","cv-journal-international,cv-short",4,"verified_from_source","journal_international",TRUE
"toffalini2024attenzione","article","E. Toffalini;C. Cornoldi","","Attenzione all’uso delle discrepanze nel profilo di intelligenza per l’identificazione di DSA e ADHD","2024","Psicologia Clinica dello Sviluppo","","","","2/2024","","225-236","","10.1449/113498","","cv-journal-italian,cv-short",10,"verified_from_source","journal_italian",TRUE
"szczygiel2024math","article","M. Szczygieł;D. Szűcs;E. Toffalini","","Math anxiety and math achievement in primary school children: Longitudinal relationship and predictors","2024","Learning and Instruction","","","","92","","101906","","","","cv-journal-international",4,"needs_review","journal_international",FALSE
"sella2024effects","article","E. Sella;M. Vincenzi;E. Carbone;E. G. Schellenberg;C. Lima;E. Toffalini;E. Borella","","Effects of music listening on cognition and affective state in older adults: A systematic review and meta-analysis","2024","European Psychologist","","","","29","3","199-215","","10.1027/1016-9040/a000533","","cv-journal-international",4,"verified_from_source","journal_international",FALSE
"giofre2024understanding","article","D. Giofrè;R. Lievore;K. Allen;I. Tonizzi;I. C. Mammarella;E. Toffalini","","Understanding sex/gender differences in intelligence profiles of children with Autism: A comprehensive WISC meta-analysis","2024","Research in Developmental Disabilities","","","","154","July","104854","","10.1016/j.ridd.2024.104854","","cv-journal-international",4,"verified_from_source","journal_international",FALSE
"giofre2024sexa","article","D. Giofrè;E. Toffalini;L. Esposito;C. Cornoldi","","Sex/gender differences in general cognitive abilities: an investigation using the Leiter‑3","2024","Cognitive Processing","","","","0123456789","","","","10.1007/s10339-024-01199-9","","cv-journal-international",4,"needs_review","journal_international",FALSE
"giofre2024sex","article","D. Giofrè;E. Toffalini;A. Perugini;L. Espostito;G. Amoretti;D. C. Geary","","Sex differences in cognition: A meta-analysis of variance ratios in the Wechsler Intelligence Scales for Children","2024","Personality and Individual Differences","","","","229","","112776","","","","cv-journal-international",4,"needs_review","journal_international",FALSE
