"collection","id","value","present"
"positions","academic-associate-padua","Professore Associato",TRUE
"positions","academic-rtdb-padua","Ricercatore a Tempo Determinato (tipo B)",TRUE
"positions","academic-rtda-padua","Ricercatore a Tempo Determinato (tipo A)",TRUE
"positions","fellowships-type-b-padua","Due assegni di ricerca di tipo B",TRUE
"positions","fellowships-type-a-padua","Due assegni di ricerca di tipo A",TRUE
"positions","visiting-phd-city-2015","Visiting PhD student",TRUE
"positions","visiting-phd-city-2014","Visiting PhD student",TRUE
"positions","erasmus-research-oslo","Studente Erasmus / Assistente di ricerca",TRUE
"positions","labda-clinical-supervision","Partecipante alle riunioni di supervisione clinica",TRUE
"positions","labda-internship","Tirocinante",TRUE
"positions","alzheimer-verona-internship","Tirocinante clinico",TRUE
"education","phd-psychological-sciences-padua","Dottorato di Ricerca",TRUE
"education","msc-experimental-psychology-padua","Laurea Magistrale",TRUE
"education","technical-diploma-computer-science","Diploma di Perito Informatico",TRUE
"grants","prin-pnrr-time-processing-adhd","Time processing skills in primary school children with ADHD: A multi-informant approach to diagnosis and intervention",TRUE
"grants","prin-tails-or-types","Tails or types? Testing the dimensional hypothesis in neurodevelopmental disorders",TRUE
"grants","prid-stratys","STRATYS - Linking personality and daily stress: an intensive ecological assessment of psychological and physiological responses",TRUE
"grants","prid-pio","PIO - Perspective on Intelligence Ontogeny",TRUE
"teaching","phd-python-data-science","Basics of Python for Data Science",TRUE
"teaching","phd-r-data-science","Basics of R for Data Science",TRUE
"teaching","phd-programming-experiments","Programming Experiments (E-Prime and other software)",TRUE
"teaching","degree-human-intelligence","Psicologia dell’Intelligenza Umana",TRUE
"teaching","degree-general-psychology-tmps","General Psychology",TRUE
"teaching","degree-smell-taste","Olfatto e Gusto: Sensazione e Cognizione",TRUE
"teaching","degree-audiology-psychology","Audiologia e Psicologia",TRUE
"teaching","degree-psychological-sciences-rehab","Scienze Psicologiche",TRUE
"teaching","degree-aging-psychology","Psicologia dell’Invecchiamento",TRUE
"teaching","supplementary-basic-concepts","Basic Concepts of Psychology (module B)",TRUE
"teaching","supplementary-general-psychology","Psicologia Generale (modulo A)",TRUE
"teaching","supplementary-learning-memory","Psicologia dell’Apprendimento e della Memoria",TRUE
"teaching","master-learning-psychopathology","Valutazione dell’intelligenza nei disturbi del neurosviluppo",TRUE
"teaching","master-aging-longevity","Valutazione dell’intelligenza nell’adulto e nell’anziano",TRUE
"service","winter-school-4ms-2025","International Winter School 2025: The 4Ms: Meta-research, Measurement, Multi-lab, and Multiverse data analysis in Behavioral Sciences",TRUE
"service","handzone-workshops","HandZone workshop",TRUE
"service","srld-conference-2019","1° convegno internazionale The SRLD",TRUE
"service","winter-school-beyond-p-2019","International Winter School 2019: Beyond p < .05: modern statistical approaches in psychological science",TRUE
"service","ewic-2018-organization","16° European Workshop on Imagery and Cognition (EWIC)",TRUE
"service","plos-one-editorial-board","PLOS ONE",TRUE
"service","paid-editorial-board","Personality and Individual Differences",TRUE
"service","down-syndrome-special-issue","Individuals with Down Syndrome",TRUE
"service","phd-advisory-board","Corso di dottorato in Psychological Sciences",TRUE
"service","psychology-ethics-president","Comitato Etico di Psicologia/Area 17",TRUE
"service","psychology-ethics-member","Comitato Etico di Psicologia/Area 17",TRUE
"service","new-staff-onboarding-group","Procedure di accoglienza docenti/ricercatori neo-assunti e semplificazione",TRUE
"service","third-mission-open-science-commission","Commissione Terza Missione",TRUE
